user_input,intent
What is Machine Learning?,AI_ML
Can you explain neural networks to a beginner?,AI_ML
What is the difference between supervised and unsupervised learning?,AI_ML
How do computers learn from data?,AI_ML
What does deep learning mean?,AI_ML
What is a model in artificial intelligence?,AI_ML
How do self-driving cars use AI?,AI_ML
What is reinforcement learning with an example?,AI_ML
Why is Python preferred for artificial intelligence?,AI_ML
What is the full form of NLP in AI?,AI_ML
Can you give an example of computer vision?,AI_ML
What is a training dataset?,AI_ML
How does ChatGPT generate text?,AI_ML
What is a popular algorithm for classification?,AI_ML
What are weights and biases in ML?,AI_ML
What does over-fitting mean in machine learning?,AI_ML
What is an activation function?,AI_ML
How do recommendation systems work on Netflix?,AI_ML
What is the purpose of a loss function?,AI_ML
What is generative AI?,AI_ML
What is the difference between AI and ML?,AI_ML
How does image recognition work?,AI_ML
What is a decision tree in machine learning?,AI_ML
What is transfer learning?,AI_ML
Why do we need a test dataset?,AI_ML
What is the role of an epoch in training?,AI_ML
What is a convolutional neural network?,AI_ML
How do voice assistants understand us?,AI_ML
What is feature engineering?,AI_ML
What does a linear regression model do?,AI_ML
What is the Turing test?,AI_ML
What is clustering in machine learning?,AI_ML
How do LLMs work?,AI_ML
What is a confusion matrix used for?,AI_ML
What is backpropagation?,AI_ML
What is gradient descent?,AI_ML
What are hyperparameters?,AI_ML
Can AI think like humans?,AI_ML
What is an example of a regression problem?,AI_ML
How do spam filters use machine learning?,AI_ML
What is natural language processing?,AI_ML
What is a random forest model?,AI_ML
Why is data preprocessing important in ML?,AI_ML
What is the bias-variance tradeoff?,AI_ML
What are tokens in large language models?,AI_ML
What is computer vision used for in daily life?,AI_ML
What does fine-tuning a model mean?,AI_ML
What is artificial general intelligence?,AI_ML
How do we measure the accuracy of an ML model?,AI_ML
What is an underfitted model?,AI_ML
What is a variable in programming?,Programming
How do I write a comment in Python?,Programming
What is the difference between a list and a tuple?,Programming
How do you declare a function in JavaScript?,Programming
What does an if-else statement do?,Programming
What is a loop in coding?,Programming
What is the difference between let and const?,Programming
How do I print text to the console in Java?,Programming
What is an array index?,Programming
What does HTML stand for?,Programming
How do I create a class in C++?,Programming
What is the purpose of a return statement?,Programming
What is an API?,Programming
How do I fix a syntax error?,Programming
What is a string in programming?,Programming
What is the difference between public and private variables?,Programming
How does a while loop work?,Programming
What is an object in object-oriented programming?,Programming
How do you merge code in Git?,Programming
What is a dictionary in Python?,Programming
Why do we use CSS?,Programming
What is the purpose of a framework like React?,Programming
How do I convert a string to an integer?,Programming
What does debugging mean?,Programming
What is a boolean data type?,Programming
How do you pass arguments to a function?,Programming
What is the difference between == and ===?,Programming
How do I open a file in Python?,Programming
What is a database query?,Programming
What does the term open-source mean?,Programming
How do I install a package using pip?,Programming
What is an exception in coding?,Programming
What is a global variable?,Programming
How do you write a for loop?,Programming
What is a memory leak?,Programming
What is the main function in C?,Programming
How do I concatenate two strings?,Programming
What is the difference between frontend and backend?,Programming
What is a compiler?,Programming
How do I create a JSON object?,Programming
What is recursion in programming?,Programming
What does an absolute path mean?,Programming
How do I comment out multiple lines?,Programming
What is a null pointer exception?,Programming
What is SQL used for?,Programming
How do you define an interface?,Programming
What is code indentation?,Programming
What is a constructor in OOP?,Programming
How do I check the length of an array?,Programming
What is the difference between local and global scope?,Programming
What is Data Science in simple terms?,Data_Science
What does a data scientist do?,Data_Science
What is the difference between data science and data analytics?,Data_Science
What is a dataframe?,Data_Science
How do you handle missing data in a dataset?,Data_Science
What is exploratory data analysis?,Data_Science
Why do we use Pandas in Python?,Data_Science
What is a histogram used for?,Data_Science
What is the difference between mean and median?,Data_Science
What is data cleaning?,Data_Science
How do you find outliers in data?,Data_Science
What is a scatter plot?,Data_Science
What is the purpose of data visualization?,Data_Science
What is standard deviation?,Data_Science
How do you use SQL for data analysis?,Data_Science
What is a correlation coefficient?,Data_Science
What is the difference between structured and unstructured data?,Data_Science
Why do we normalize data?,Data_Science
What is Tableau used for?,Data_Science
What is a feature in a dataset?,Data_Science
How do you read a CSV file in Python?,Data_Science
What is the purpose of a box plot?,Data_Science
What is a population versus a sample?,Data_Science
What is time series analysis?,Data_Science
What is Power BI?,Data_Science
How do you group data in SQL?,Data_Science
What is NumPy used for?,Data_Science
What is a normal distribution?,Data_Science
What is A/B testing?,Data_Science
How do you handle categorical data?,Data_Science
What is data scraping?,Data_Science
What is the difference between qualitative and quantitative data?,Data_Science
What is a bar chart?,Data_Science
What is predictive analytics?,Data_Science
Why is domain knowledge important in data science?,Data_Science
What is data aggregation?,Data_Science
What is a pivot table?,Data_Science
What is the definition of big data?,Data_Science
What is a correlation matrix?,Data_Science
How do you merge two dataframes?,Data_Science
What is the interquartile range?,Data_Science
What does variance mean in statistics?,Data_Science
What is a data pipeline?,Data_Science
What is the purpose of Matplotlib?,Data_Science
How do you sample data randomly?,Data_Science
What is a heatmap?,Data_Science
What is data engineering?,Data_Science
What is metadata?,Data_Science
Why do we use Seaborn?,Data_Science
What is a percentile?,Data_Science
What is cloud computing?,Technology
How does the internet work?,Technology
What is an operating system?,Technology
What is the difference between RAM and ROM?,Technology
What does 5G mean?,Technology
What is cybersecurity?,Technology
How does a router work?,Technology
What is an IP address?,Technology
What is the purpose of a firewall?,Technology
What is blockchain technology?,Technology
What is cryptocurrency?,Technology
How does a hard drive store data?,Technology
What is the Internet of Things?,Technology
What is a server?,Technology
What is the difference between HTTP and HTTPS?,Technology
What does CPU stand for?,Technology
What is malware?,Technology
How does phishing work?,Technology
What is a VPN used for?,Technology
What is open-source software?,Technology
What is cache memory?,Technology
How does Bluetooth connect devices?,Technology
What is a domain name?,Technology
What is the role of a motherboard?,Technology
What is two-factor authentication?,Technology
What is virtual reality?,Technology
What is augmented reality?,Technology
What is SaaS?,Technology
How does a solid-state drive differ from a hard drive?,Technology
What is information technology?,Technology
What is a computer network?,Technology
How does encryption protect data?,Technology
What is quantum computing?,Technology
What is a database management system?,Technology
What does BIOS stand for?,Technology
What is a URL?,Technology
How do smart devices communicate?,Technology
What is the Linux operating system?,Technology
What is a cookie on a website?,Technology
What is network bandwidth?,Technology
What is a data center?,Technology
How does Wi-Fi work?,Technology
What is social engineering in cyber security?,Technology
What is digital transformation?,Technology
What is a software patch?,Technology
What is the purpose of a graphics card?,Technology
What is metadata in technology?,Technology
What is a proxy server?,Technology
What does UI and UX design mean?,Technology
What is edge computing?,Technology
How do I choose the right career path?,Career_Guidance
What skills are needed to become a software engineer?,Career_Guidance
Is a computer science degree necessary for coding?,Career_Guidance
What does a product manager do?,Career_Guidance
How can I switch my career to data science?,Career_Guidance
What is the average salary of an ML engineer?,Career_Guidance
Should I learn Python or Java first?,Career_Guidance
What jobs can I get with a math degree?,Career_Guidance
How do I build a portfolio as a beginner?,Career_Guidance
What are the highest paying jobs in tech?,Career_Guidance
How do I get an internship with no experience?,Career_Guidance
What is the career path for a data analyst?,Career_Guidance
Is web development still a good career?,Career_Guidance
How do I transition from QA to development?,Career_Guidance
What soft skills are important for engineers?,Career_Guidance
Should I become a generalist or a specialist?,Career_Guidance
What does a cloud architect do?,Career_Guidance
How do I find a mentor in tech?,Career_Guidance
Is remote work common for programmers?,Career_Guidance
What are the duties of a database administrator?,Career_Guidance
How do I network effectively on LinkedIn?,Career_Guidance
What certifications are good for cybersecurity?,Career_Guidance
Should I go to a coding bootcamp?,Career_Guidance
What is freelance programming like?,Career_Guidance
How do I decide between frontend and backend?,Career_Guidance
What are the career growth options for a DevOps engineer?,Career_Guidance
Is machine learning a stressful career?,Career_Guidance
How do I explain a gap in my resume?,Career_Guidance
What industries hire data scientists?,Career_Guidance
How do I stay motivated when learning to code?,Career_Guidance
What does a systems analyst do?,Career_Guidance
Is a master's degree worth it for AI?,Career_Guidance
How do I prepare for a career change?,Career_Guidance
What are the daily tasks of a UI designer?,Career_Guidance
How can I improve my technical writing skills?,Career_Guidance
What is the market demand for mobile developers?,Career_Guidance
Should I learn full-stack development?,Career_Guidance
What are the benefits of open-source contributions for my career?,Career_Guidance
How do I ask for a promotion?,Career_Guidance
What is the difference between a junior and senior developer?,Career_Guidance
How do I balance learning new tech with my job?,Career_Guidance
What is a technical product manager?,Career_Guidance
How do I find entry-level tech jobs?,Career_Guidance
What skills are needed for a solution architect?,Career_Guidance
Is blockchain a good career choice?,Career_Guidance
How do I negotiate my first salary?,Career_Guidance
What does a scrum master do?,Career_Guidance
How do I transition into technical management?,Career_Guidance
What are the pros and cons of working at a startup?,Career_Guidance
How do I plan my 5-year career goal?,Career_Guidance
How do I prepare for a software engineering interview?,Interview_Preparation
What are common behavioral interview questions?,Interview_Preparation
How should I explain my projects in an interview?,Interview_Preparation
What is the STAR method for interviews?,Interview_Preparation
How do I prepare for a coding test?,Interview_Preparation
What should I wear to a tech interview?,Interview_Preparation
How do I answer tell me about yourself?,Interview_Preparation
What questions should I ask the interviewer?,Interview_Preparation
How do I solve a technical problem if I get stuck?,Interview_Preparation
What is a system design interview?,Interview_Preparation
How long should a technical resume be?,Interview_Preparation
What are popular LeetCode questions for beginners?,Interview_Preparation
How do I handle SQL interview questions?,Interview_Preparation
What is a mock interview?,Interview_Preparation
How do I explain my weaknesses in an interview?,Interview_Preparation
What should I do after a job interview?,Interview_Preparation
How do I prepare for a machine learning interview?,Interview_Preparation
What do interviewers look for in a portfolio?,Interview_Preparation
How do I talk about a failed project?,Interview_Preparation
What is an HR interview round like?,Interview_Preparation
How do I practice object-oriented design questions?,Interview_Preparation
How do I handle high-pressure questions?,Interview_Preparation
What are common data structure interview questions?,Interview_Preparation
How can I improve my coding speed for tests?,Interview_Preparation
How do I explain data normalization in an interview?,Interview_Preparation
What should I include in my resume summary?,Interview_Preparation
How do I answer questions about salary expectations?,Interview_Preparation
What is a phone screening interview?,Interview_Preparation
How do I prepare for a data analyst interview?,Interview_Preparation
How do I explain the time complexity of an algorithm?,Interview_Preparation
What are common JavaScript interview questions?,Interview_Preparation
How do I stand out in a group interview?,Interview_Preparation
What is a take-home assignment?,Interview_Preparation
How do I handle a case study interview?,Interview_Preparation
What are common Python interview questions?,Interview_Preparation
How do I explain abstract concepts to a non-tech interviewer?,Interview_Preparation
How far back should my resume go?,Interview_Preparation
How do I talk about conflict with a coworker?,Interview_Preparation
What are common cloud computing interview questions?,Interview_Preparation
How do I prepare for an internship interview?,Interview_Preparation
What is a culture fit interview?,Interview_Preparation
How do I handle a live coding round?,Interview_Preparation
What are common OOP interview questions?,Interview_Preparation
How do I talk about my leadership experience?,Interview_Preparation
What are common database design questions?,Interview_Preparation
How do I follow up on a job application?,Interview_Preparation
What are common networking interview questions?,Interview_Preparation
How do I explain why I want to leave my current job?,Interview_Preparation
What should I review the night before an interview?,Interview_Preparation
How do I handle brain teaser interview questions?,Interview_Preparation
What is the capital of France?,General_Knowledge
Who wrote Romeo and Juliet?,General_Knowledge
How many planets are in our solar system?,General_Knowledge
What is the largest ocean on Earth?,General_Knowledge
Who discovered gravity?,General_Knowledge
What is the currency of Japan?,General_Knowledge
Which country is known as the Land of the Rising Sun?,General_Knowledge
What is the tallest mountain in the world?,General_Knowledge
Who painted the Mona Lisa?,General_Knowledge
What is the chemical symbol for water?,General_Knowledge
How many days are in a leap year?,General_Knowledge
Which planet is known as the Red Planet?,General_Knowledge
Who was the first person to walk on the moon?,General_Knowledge
What is the largest country by land area?,General_Knowledge
How many bones are in the adult human body?,General_Knowledge
What is the hardest natural substance on Earth?,General_Knowledge
Who invented the telephone?,General_Knowledge
What is the capital of Japan?,General_Knowledge
Which animal is the largest mammal?,General_Knowledge
What is the primary language spoken in Brazil?,General_Knowledge
How many continents are there?,General_Knowledge
What gas do humans need to breathe to survive?,General_Knowledge
Who was the first president of the United States?,General_Knowledge
What is the main ingredient in chocolate?,General_Knowledge
Which ocean is between Europe and America?,General_Knowledge
What is the smallest country in the world?,General_Knowledge
How many colors are in a rainbow?,General_Knowledge
What is the capital of the United Kingdom?,General_Knowledge
Who wrote the Odyssey?,General_Knowledge
What is the fastest land animal?,General_Knowledge
Which element has the atomic number 1?,General_Knowledge
What is the longest river in the world?,General_Knowledge
Who is the author of Harry Potter?,General_Knowledge
What is the capital of Australia?,General_Knowledge
Which country hosts the Eiffel Tower?,General_Knowledge
What is the largest organ in the human body?,General_Knowledge
How many states are in the United States?,General_Knowledge
What is the freezing point of water in Celsius?,General_Knowledge
Who invented the light bulb?,General_Knowledge
What instrument is used to measure temperature?,General_Knowledge
What is the national bird of the United States?,General_Knowledge
Which ancient civilization built the pyramids?,General_Knowledge
What is the capital of Canada?,General_Knowledge
How many hours are in a day?,General_Knowledge
What is the square root of 81?,General_Knowledge
Which continent is the South Pole located on?,General_Knowledge
What language is spoken in Mexico?,General_Knowledge
Who discovered America?,General_Knowledge
What is the currency of the United Kingdom?,General_Knowledge
What is the largest desert in the world?,General_Knowledge
Hello how are you today?,Other
Can you tell me a funny joke?,Other
What is the weather like right now?,Other
Do you like music?,Other
What is your favorite color?,Other
Tell me something about your day.,Other
How was your weekend?,Other
Can you recommend a good movie?,Other
Knock knock who is there?,Other
I am feeling a bit tired today.,Other
What do you think about humans?,Other
Good morning friend.,Other
What should I eat for dinner tonight?,Other
Do you believe in ghosts?,Other
Tell me a riddle.,Other
Hi there nice to meet you.,Other
What are your hobbies?,Other
Is it going to rain tomorrow?,Other
What is your opinion on art?,Other
I had a great day today.,Other
Do you have any pets?,Other
What is your favorite food?,Other
Hey buddy what are you doing?,Other
Can you make me laugh?,Other
What is the meaning of life?,Other
I love playing video games.,Other
Do you enjoy reading books?,Other
How is life treating you?,Other
What do you think of this weather?,Other
Tell me a fun fact about cats.,Other
Good evening to you.,Other
What is your favorite movie genre?,Other
"I am bored let us talk.,",Other
Do you prefer coffee or tea?,Other
What are your plans for the weekend?,Other
That is a really cool story.,Other
Where would you go on vacation?,Other
What is your favorite song?,Other
I am happy today.,Other
Do you like sports?,Other
Can you tell me a bedtime story?,Other
It is a beautiful day outside.,Other
What do you think about fashion?,Other
What is your favorite season?,Other
I need some movie recommendations.,Other
How are you doing this evening?,Other
Tell me a short joke about computers.,Other
What is your dream destination?,Other
I am going for a walk now.,Other
Have a wonderful day ahead!,Other


Hello there!,Other
"Good morning, how are you?",Other
Hey! What's up?,Other
"Hi, nice to meet you.",Other
"Good evening, hope you had a great day.",Other
How is your day going so far?,Other
What are you up to right now?,Other
Tell me a funny joke.,Other
Do you know any good riddles?,Other
"Make me laugh, please.",Other
What is your absolute favorite movie?,Other
Can you recommend a good comedy film?,Other
Have you seen any good shows lately?,Other
Who is your favorite actor?,Other
What kind of music do you like to listen to?,Other
Who is your favorite musical artist?,Other
Can you suggest a relaxing song?,Other
Do you prefer pop music or rock music?,Other
What is your name?,Other
Who exactly are you?,Other
Where do you live?,Other
How old are you?,Other
Do you have any siblings?,Other
What is your favorite color?,Other
Do you have any pets?,Other
Are you a cat person or a dog person?,Other
I am feeling really happy today!,Other
I had a pretty rough day today.,Other
I feel a bit tired right now.,Other
That makes me so excited!,Other
"I'm feeling a bit bored, to be honest.",Other
What did you eat for breakfast today?,Other
What is your favorite food?,Other
Do you prefer cooking at home or eating out?,Other
How is the weather outside right now?,Other
Do you prefer sunny days or rainy days?,Other
What is your favorite season of the year?,Other
What are your plans for the weekend?,Other
How do you usually relax after a long day?,Other
Do you enjoy reading books?,Other
What is the last book you read?,Other
Where would you go on your dream vacation?,Other
Do you prefer the beach or the mountains?,Other
What hobbies do you enjoy doing?,Other
Do you play any sports?,Other
Who is your favorite athlete?,Other
What is your favorite holiday?,Other
How do you usually celebrate your birthday?,Other
What is your favorite childhood memory?,Other
Do you believe in ghosts?,Other
What is your favorite flavor of ice cream?,Other
Do you prefer coffee or tea in the morning?,Other
What is the most beautiful place you have ever seen?,Other
Can you tell me a random interesting fact?,Other
What is your favorite time of the day?,Other
Do you like to wake up early or stay up late?,Other
What is your favorite fruit?,Other
Do you prefer sweet or savory snacks?,Other
What is the best gift you have ever received?,Other
"If you could have any superpower, what would it be?",Other
What is your favorite board game?,Other
Do you like going to amusement parks?,Other
What is your favorite animal?,Other
Have you ever been to a zoo?,Other
What is your favorite type of flower?,Other
Do you enjoy gardening?,Other
What is your favorite dessert?,Other
Do you prefer pizza or burgers?,Other
What is your favorite restaurant?,Other
Do you like to go shopping?,Other
What is your favorite clothing brand?,Other
Do you prefer casual or formal clothes?,Other
What is your favorite type of shoes?,Other
Do you like to watch sports on TV?,Other
What is your favorite team?,Other
Have you ever been to a concert?,Other
What is the best concert you have ever attended?,Other
Do you like to dance?,Other
What is your favorite type of dance?,Other
Do you enjoy singing?,Other
What is your favorite song to sing?,Other
Do you play any musical instruments?,Other
What instrument would you like to learn?,Other
Do you like to paint or draw?,Other
What is your favorite type of art?,Other
Have you ever been to an art museum?,Other
What is your favorite museum?,Other
Do you like to watch documentaries?,Other
What is your favorite documentary?,Other
Do you enjoy watching reality TV shows?,Other
What is your favorite reality TV show?,Other
Do you like to play video games?,Other
What is your favorite video game?,Other
Do you prefer playing games alone or with friends?,Other
What is your favorite board game to play with family?,Other
Do you like to do puzzles?,Other
What is your favorite type of puzzle?,Other
Do you enjoy solving crosswords?,Other
What is your favorite outdoor activity?,Other
Do you like to go hiking?,Other
Hi,Other
Hello,Other
Good morning,Other
Who are you?,Other
What is your name?,Other
How are you?,Other
Main kaun hu?,Other
Ram kaun the?,Other
Tell me a joke,Other
Recommend a movie,Other
Hey there,Other
Good evening,Other
Good afternoon,Other
"Hi, how's it going?",Other
What's up?,Other
"Yo, what is happening?",Other
How are you doing today?,Other
"Hello, nice to meet you.",Other
Is anyone there?,Other
How is your day going?,Other
What are you doing?,Other
"I'm bored, talk to me.",Other
Can we chat for a bit?,Other
Tell me something interesting.,Other
How old are you?,Other
Where are you from?,Other
Do you have any hobbies?,Other
What is your favorite color?,Other
Are you a human?,Other
Do you have a family?,Other
Where do you live?,Other
What makes you happy?,Other
What is your favorite food?,Other
Do you like animals?,Other
Do you have any pets?,Other
Are you a boy or a girl?,Other
"I am feeling really sad today, can you cheer me up?",Other
"I had an amazing day, I'm so happy!",Other
I am so tired right now.,Other
I feel bored.,Other
"That makes me angry, honestly.",Other
I am scared of the dark.,Other
I feel so excited for the weekend!,Other
"I am feeling lonely tonight, let's talk.",Other
I am stressed out.,Other
I feel full after that heavy dinner.,Other
What's the weather like today?,Other
Do you prefer coffee or tea?,Other
What did you have for breakfast?,Other
Are you a morning person or a night owl?,Other
What are your plans for tomorrow?,Other
How do you pass the time?,Other
What is your favorite season?,Other
Do you like rainy days?,Other
"I'm going for a walk, see ya.",Other
What is the time right now?,Other
Do you prefer the beach or the mountains?,Other
What is your favorite holiday?,Other
How do you celebrate your birthday?,Other
Do you like to travel?,Other
What is your favorite movie of all time?,Other
Can you suggest a good comedy film?,Other
Who is your favorite actor?,Other
Have you seen any good web series lately?,Other
Do you like horror movies?,Other
What kind of music do you listen to?,Other
Who is your favorite singer?,Other
Can you recommend a relaxing song?,Other
Do you like rock music?,Other
What is the best concert you have ever been to?,Other
Do you play any musical instruments?,Other
What is your favorite book?,Other
Do you like watching sports?,Other
Who is your favorite athlete?,Other
Do you play video games?,Other
Can you tell me a funny riddle?,Other
Make me laugh right now.,Other
Do you know a good dad joke?,Other
Tell me another joke.,Other
Why did the chicken cross the road?,Other
Kya chal raha hai?,Other
Aapka naam kya hai?,Other
"Tum kaun ho, bhai?",Other
Mujhe ek kahani sunao.,Other
Ek achha sa gaana batao.,Other
Aaj mausam kaisa hai?,Other
Mujhe bhookh lagi hai.,Other
"Aap kaha rehte ho?",Other
Chalo thoda baat karte hain.,Other
Aaj ka din kaisa tha?,Other
"Hello friend, how are you?",Other
"Long time, no see!",Other
"Hey buddy, what's new?",Other
Just dropping by to say hi.,Other
Hope you are having a wonderful day.,Other
How's everything at your end?,Other
What's the gossip today?,Other
Tell me a secret.,Other
Do you believe in aliens?,Other
What is your biggest fear?,Other
Do you like stargazing?,Other
What is the meaning of life?,Other
"If you had one wish, what would it be?",Other
Do you prefer sweet or savory food?,Other
What is your favorite dessert?,Other
Do you know how to cook?,Other
"I love pizza, what about you?",Other
Do you like spicy food?,Other
What is your favorite fruit?,Other
Have you ever tried sushi?,Other
Do you like ice cream?,Other
"I'm drinking a smoothie right now.",Other
What is your favorite clothing brand?,Other
Do you prefer casual or formal clothes?,Other
"I bought new shoes today, they look great.",Other
Do you like shopping?,Other
What color is your outfit today?,Other
Do you like winter season?,Other
"It is pouring outside, I love it.",Other
Do you prefer sunrise or sunset?,Other
Where did you go for your last vacation?,Other
Have you ever seen snow?,Other
What is your favorite city?,Other
Do you like amusement parks?,Other
"I want to go to the beach this weekend, hopefully.",Other
What is your favorite action movie?,Other
Do you like watching documentaries?,Other
Who is your favorite superhero?,Other
Have you ever watched an anime?,Other
What is your favorite pop song?,Other
Do you like jazz music?,Other
Can you dance?,Other
Do you like singing in the shower?,Other
What is your favorite musical band?,Other
Do you play board games?,Other
Do you like playing chess?,Other
"I am watching a football match right now, so exciting.",Other
Do you like swimming?,Other
Have you ever tried trekking?,Other
Do you prefer fiction or non-fiction books?,Other
"I am reading a romantic novel, it's pretty nice.",Other
Can you paint or draw?,Other
Do you like visiting museums?,Other
What is your favorite memory from childhood?,Other
"I miss my school friends, honestly.",Other
"I got a new puppy today, he is so cute.",Other
Do you like cats?,Other
"My pet parrot talks a lot, it is funny.",Other
What is your favorite wild animal?,Other
What is machine learning?,AI_ML
What is deep learning?,AI_ML
How does a neural network work?,AI_ML
What is reinforcement learning?,AI_ML
What is transfer learning?,AI_ML
What is overfitting in machine learning?,AI_ML
What is the difference between AI and ML?,AI_ML
How do large language models work?,AI_ML
What is feature engineering?,AI_ML
What is computer vision?,AI_ML
What is natural language processing?,AI_ML
Explain supervised learning with an example.,AI_ML
What is the difference between supervised and unsupervised learning?,AI_ML
How do you fix overfitting in a model?,AI_ML
What is underfitting and how do you prevent it?,AI_ML
What is a convolutional neural network used for?,AI_ML
How does a recurrent neural network handle sequential data?,AI_ML
What is the difference between classification and regression?,AI_ML
How does K-means clustering work?,AI_ML
What are the main metrics for evaluating a classification model?,AI_ML
Explain precision and recall in machine learning.,AI_ML
What is an F1 score and why is it important?,AI_ML
How do you split data into training and testing sets?,AI_ML
What is cross-validation in model evaluation?,AI_ML
What is generative AI?,AI_ML
How do transformers work in NLP?,AI_ML
What is an activation function in a neural network?,AI_ML
